InvoiceNo,InvoiceDate,CustomerID,Country,ProductID,ProductDescription,Quantity,UnitPrice,TotalAmount
INV378786,2024-10-18,CUST0115,Usa,P1009,Backpack,1,43.63,43.63
INV689706,2024-05-24,CUST0346,Canada,P1011,Table Lamp,3,26.53,79.59
INV685450,2024-12-15,CUST0153,India,P1012,Gaming Headset,1,55.27,55.27
INV819141,2023-01-02,CUST0021,Brazil,P1015,Winter Jacket,4,119.9,479.6
INV995110,2024-06-07,CUST0675,Canada,P1011,Table Lamp,3,28.76,86.28
INV833897,2024-04-02,CUST0631,France,P1015,Winter Jacket,2,120.61,241.22
INV684481,2023-10-06,CUST0751,Canada,P1015,Winter Jacket,3,119.29,357.87
INV312391,2024-12-13,CUST0570,Brazil,P1014,Running Shoes,2,68.24,136.48
INV635654,2023-11-29,CUST0546,Australia,P1012,Gaming Headset,5,57.11,285.55
INV361305,2024-09-01,CUST0634,Usa,P1006,Coffee Mug,3,8.12,24.36
INV649225,2024-03-06,CUST0722,Usa,P1013,Sticky Notes Pack,1,4.41,4.41
INV274132,2023-03-09,CUST0457,Uk,P1008,Water Bottle,5,11.23,56.15
INV109564,2024-11-20,CUST0351,Australia,P1006,Coffee Mug,5,8.11,40.55
INV377825,2024-09-10,CUST0333,Canada,P1013,Sticky Notes Pack,3,4.43,13.29
INV501092,2024-03-26,CUST0454,Canada,P1004,Desk Lamp,5,22.0,110.0
INV459059,2023-01-01,CUST0004,India,P1015,Winter Jacket,4,120.84,483.36
INV684041,2023-07-04,CUST0431,Germany,P1015,Winter Jacket,3,114.39,343.17
INV363014,2024-01-04,CUST0011,Usa,P1002,Bluetooth Speaker,3,34.2,102.6
INV457656,2024-02-26,CUST0628,Usa,P1012,Gaming Headset,4,54.61,218.44
INV927729,2024-04-24,CUST0136,Canada,P1012,Gaming Headset,1,53.27,53.27
INV331879,2023-01-01,CUST0153,India,P1001,Wireless Mouse,5,16.44,82.2
INV792687,2024-05-14,CUST0109,Australia,P1001,Wireless Mouse,2,15.63,31.26
INV585187,2023-01-01,CUST0136,Canada,P1002,Bluetooth Speaker,5,34.21,171.05
INV148622,2024-06-21,CUST0479,Germany,P1012,Gaming Headset,3,55.83,167.49
INV261144,2024-08-12,CUST0240,France,P1002,Bluetooth Speaker,1,36.09,36.09
INV319555,2024-04-12,CUST0373,Brazil,P1001,Wireless Mouse,2,16.11,32.22
INV572152,2024-11-15,CUST0319,Brazil,P1012,Gaming Headset,5,56.45,282.25
INV185775,2024-12-13,CUST0657,Uk,P1015,Winter Jacket,5,123.86,619.3
INV685980,2024-06-15,CUST0362,Brazil,P1009,Backpack,5,44.78,223.9
INV116668,2024-10-30,CUST0462,France,P1013,Sticky Notes Pack,4,4.39,17.56
INV263823,2024-12-14,CUST0321,Germany,P1007,Yoga Mat,3,19.86,59.58
INV203542,2024-12-20,CUST0083,Canada,P1002,Bluetooth Speaker,4,35.59,142.36
INV629309,2024-02-18,CUST0667,Usa,P1011,Table Lamp,3,27.73,83.19
INV863243,2024-12-28,CUST0745,France,P1013,Sticky Notes Pack,4,4.12,16.48
INV823947,2024-08-09,CUST0564,Australia,P1003,Notebook Set,2,6.97,13.94
INV690257,2024-10-13,CUST0392,Germany,P1001,Wireless Mouse,2,16.55,33.1
INV772867,2024-12-01,CUST0382,Germany,P1004,Desk Lamp,4,21.84,87.36
INV772706,2023-01-01,CUST0791,Germany,P1011,Table Lamp,2,27.03,54.06
