CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Sum,Segment,Country
CUST0001,15,24,5424.77,5,5,5,555,15,Champions,Germany
CUST0002,19,2,171.31,4,1,1,411,6,New Customers,Australia
CUST0003,430,2,494.61,1,1,2,112,4,Lost,Australia
CUST0004,4,24,7104.64,5,5,5,555,15,Champions,India
CUST0005,21,11,3134.42,4,5,5,455,14,Champions,Brazil
CUST0006,10,22,6804.58,5,5,5,555,15,Champions,France
CUST0007,6,2,1069.14,5,1,3,513,9,New Customers,Brazil
CUST0008,327,2,650.98,1,1,2,112,4,Lost,Germany
CUST0010,477,1,492.24,1,1,2,112,4,Lost,Usa
CUST0011,2,15,2490.67,5,5,4,554,14,Champions,Usa
CUST0012,117,3,374.77,2,2,1,221,5,Lost,Canada
CUST0013,38,13,5082.43,3,5,5,355,13,Loyal Customers,Australia
CUST0014,19,10,2222.56,4,4,4,444,12,Champions,Uk
CUST0015,95,10,2511.01,3,4,4,344,11,Loyal Customers,Germany
CUST0016,40,5,1332.29,3,3,3,333,9,Loyal Customers,France
CUST0017,104,3,405.24,3,2,1,321,6,Promising,France
CUST0018,111,5,483.37,2,3,2,232,7,Needs Attention,Usa
CUST0019,67,5,921.79,3,3,3,333,9,Loyal Customers,Australia
CUST0020,15,2,499.7,5,1,2,512,8,New Customers,Australia
CUST0021,145,9,1884.38,2,4,4,244,10,At Risk,Brazil
CUST0022,440,4,678.75,1,2,2,122,5,Lost,Usa
CUST0023,18,1,184.97,4,1,1,411,6,New Customers,Canada
CUST0024,135,3,1596.41,2,2,4,224,8,Needs Attention,Brazil
CUST0025,39,4,987.72,3,2,3,323,8,Needs Attention,Uk
CUST0026,81,4,1420.07,3,3,3,333,9,Loyal Customers,Canada
CUST0027,117,5,2767.17,2,3,5,235,10,At Risk,Usa
CUST0028,18,12,2439.89,4,5,4,454,13,Champions,Germany
CUST0029,21,1,113.15,4,1,1,411,6,New Customers,Uk
CUST0030,5,1,150.77,5,1,1,511,7,New Customers,Uk
CUST0031,10,1,441.71,5,1,1,511,7,New Customers,Usa
CUST0032,177,6,2439.58,1,4,4,144,9,At Risk,Brazil
CUST0033,142,10,2143.96,2,4,4,244,10,At Risk,Germany
CUST0034,40,13,3813.62,3,5,5,355,13,Loyal Customers,Canada
CUST0035,47,3,954.86,3,2,3,323,8,Needs Attention,Australia
CUST0036,277,2,299.81,1,1,1,111,3,Lost,Brazil
CUST0037,74,4,1423.92,3,3,3,333,9,Loyal Customers,Germany
CUST0038,17,2,310.35,4,1,1,411,6,New Customers,Germany
CUST0039,354,4,674.21,1,3,2,132,6,Needs Attention,Usa
CUST0040,466,4,144.44,1,3,1,131,5,Needs Attention,Brazil
